رقم النسخة;العنوان;المؤلف;الناشر;السنة;مكان النشر;الطبعة;الشفرة
44682;السلطان الخطير : السياسة الخارجية الأمريكية في الشرق الأوسط;نعوم تشومسكي;دار الساقي;2007;بيروت;;327/443
44684;السلطة التقديرية للقاضي في الفقه الاسلامي;ناصر بركات, محمود محمد;دار النفائس;2007;الاردن;;250/245
44685;السلطة التنفيذية في بلدان المغرب العربي : دراسة قانونية مقارنة;فدوى مرابط;مركز دراسات الوحدة العربية;2010;بيروت;;342/522
44690;السنوات الخمسون القادمة : حال العلم خلال النصف الأول من القرن الحادي والعشرين;جون بروكمان;مكتبة العبيكان;2004;المملكة المتحدة;;320/651
44692;السودان المعاصر : السياسة الخارجية والعلاقات الدولية;عبد السلام إبراهيم بغدادي;دار المناهج;2005;عمان;;327/430
44697;السياسات الادارية في ظل المتغيرات الاقتصادية و تحديات الاستراتيجية في منشأت الأعمال;علي الشرقاوي;المكتب العربي الحديث;2010;الاسكندرية;;342/530
44698;السياسات الإعلامية;جمال أبو شنب;دار المعرفة الجامعية;2010;الإسكندرية;;320/678
44709;السياسات المقارنة في وقتنا الحاضر : نظرة عالمية;جابريل إيه. آلموند;الدار الأهلية للنشر والتوزيع;1998;لبنان;;320/647
44713;السياسة الخارجية الأمريكية : بين مدرستين :المحافظية الجديدة والواقعية;هادي قبيسي;الدار العربية للعلوم;2008;بيروت;;327/422
44718;السياسة الخارجية الفرنسية إزاء الوطن العربي منذ عام 1967;بوقنطار الحسان;مركز دراسات الوحدة العربية;1987;بيروت;;327.09/697
44723;السياسة الخارجية والمؤتمرات الدولية;هشام محمود الأقداحي;مؤسسة شباب الجامعة;2012;الإسكندرية;;327/549
44726;السياسة السعرية في إطار العولمة الأقتصادية;خبابه عبد الله;مؤسسة الثقافة الجامعية;2009;الإسكندرية;;330/26
44735;الشخصية الإدارية;محمد الصيرفي;دار الوفاء;2007;الإسكندرية;;351/59
44736;الشركات دولية النشاط وأثرها على المنافسة والعمالة والتصدير في الدول النامية;سامي سلامة نعمان;;2008;;;330/121
44737;الشركة التي غيرت العالم : كيف بنت شركة الهند الشرقية الإمبراطورية البريطانية وقدمت المؤسسة العابرة للقارات;نك روبنز;مكتبة الشروق الدولية;2009;القاهرة;;330/258
44743;الصراعات الإقليمية والدولية في لبنان : مقاربات قانونية-سياسة للواقع اللبناني;خليل حسين;دار المنهل اللبناني;2008;بيروت;;327/425
44747;الصفقات العمومية : تشريعا و فقها و اجتهادا;عبد اللطيف قطيش;منشورات الحلبي الحقوقية;2010;بيروت;;342/532
44751;الصلح في الشريعة والقانون;شتون, بلقاسم;دار الفكر والقانون;2010;مصر;;250/243
44752;الصلح كسبب لانقضاء الدعوى الجنائية;الجابري , ايمان محمد;دار الجامعة الجديدة;2011;مصر;;345/739
44759;الصين في أفريقيا : شريك أم منافس؟;كريس ألند;الدار العربية للعلوم;2009;بيروت;;327/420
44763;الصين والهند والولايات المتحدة الأمريكية : التنافس على موارد الطاقة;مركز الإمارات للدراسات;مركز الإمارات للدراسات والبحوث الإستراتيجية;2008;أبو ظبي;;330/99
44766;الطاعون و بدع الطاعون : الحراك الإجتماعي في بلاد المغرب بين الفقيه و الطبيب و الأمير ( 1350-1800);حسين بوجرة;مركز دراسات الوحدة العربية;2011;بيروت;;327.09/730
44768;الطفرة النفطية الثالثة وإنعكاسات الأزمة المالية العالمية : حالة أقطار مجلس التعاون لدول الخليج العربية;إبراهيم شريف السيد;مركز دراسات الوحدة العربية;2009;بيروت;;330/272
44770;الطوق : مخاطر التحالف التركي الإسرائيلي;حميد حمد السعدون;دار وائل;2002;عمان;;327/439
44773;العالم الثاني : السلطة والسطوة في النظام العالمي;باراج خانا;الدار العربية للعلوم;2009;بيروت;;327/446
44776;العالم بدون روسيا ؟ : قصر النظر السياسي وعواقبه;يفيجيني بريماكوف;دار الفكر;2010;دمشق;;327/435
44780;العالم من دوننا;ألان فايسمان;الدار العربية للعلوم;2009;بيروت;;000/10
44784;العرب والتجربة الآسيوية : الدروس المستفادة;محمود عبد الفضيل;مركز دراسات الوحدة العربية;2000;بيروت;;330/155
44793;العرب والصين : آفاق جديدة في الإقتصاد والسياسة;د.م;منتدى الفكر العربي;2007;عمان;;327/481
44798;العقوبات الجنائية في ضوء الفقه و القضاء;عبد المطلب , ايهاب;المركز القومي للاصدارات القانونية;2009;مصر;;345/736
44799;العقوبات الوظيفية;عامر ابراهيم احمد الشمري;منشورات زين الحقوقية;2009;;;342/534
44800;العقوبات والمنبودون في الشرق الأوسط : العراق -ليبيا-السودان;تيم نبلوك;مركز دراسات الوحدة العربية;2001;بيروت;;330/269
44803;العلاقات الإقتصادية الدولية : دراسة لمعالم الإقتصاد الدولي المعاصر;عادل أحمد حشيش;دار الجامعة الجديدة;2010;الإسكندرية;;330/257
44808;العلاقات الإقتصادية الدولية بين النظرية والتطبيق;رضا عبد السلام;المكتبة العصرية;2010;مصر;2;330/52
44810;العلاقات التركية الروسية : دراسة في الصراع والتعاون;أحمد نوري النعيمي;دار زهران;2010;عمان;;327/436
44812;العلاقات الدولية;فيليب برايار;دار ومكتبة الهلال;2009;بيروت;;327/458
44818;العلاقات الدولية : النظرية والواقع-الأشخاص والقضايا;خليل حسين;منشورات الحلبي;2011;عربية;;327/438
44825;العلاقات العامة : public relation;محمد عبده حافظ;دار الفجر;2011;القاهرة;ط 2.;351/39
44827;العلاقات العامة الدولية;بشير العلاق;دار اليازوري;2009;عمان;;327/419
44829;العلاقات العامة في الأزمات;بشير العلاق;دار اليازوري;2009;عمان;;351/201
44831;العلاقات العراقية التركية : الواقع والمستقبل;أحمد نوري النعيمي;دار زهران;2010;عمان;;327/456
44833;العلاقات المصرية الأمريكية الخطوات الأولى في مصر;علاء الدين عرفات;العربي للنشر;2001;القاهرة;;327/451
44835;العلاقات المصرية الفرنسية : من التعاون إلى التواطؤ 1923 - 1956;علاء الدين عرفات;العربي للنشر و التوزيع;2001;القاهرة;;327.09/702
44837;العلاقة بين السلطتين التنفيذية و التشريعية في النظام البرلماني : (دراسة مقارنة );مهند صالح الطراونة;مؤسسة الوراق;2008;عمان;;321/138
44839;العلوم السياسية وأصول التنظيم السياسي المحلي والدولي في عصر العولمة;أحمد شلبي;المكتب العربي الحديث;2012;مصر;;320/693
44840;العمق الإستراتيجي : موقع تركيا ودورها في الساحة الدولية;أحمد داود أوغلو;الدار العربية للعلوم;2011;بيروت;;327/441
44843;العمق الإستراتيجي في الحروب الحديثة;;دار الجيل;1987;عمان;;327.09/727
44845;العملية الإدارية;محمد الصيرفي;مؤسسة حورس الدولية;2008;الإسكندرية;;351/158
44846;العوامل المالية والإقتصادية المؤثرة في عوائد الأسهم : النظرية والتطبيق;صالح طاهر الزرقان;دار جليس الزمان;2009;عمان;;330/284
44847;العولمة الكونية وأبعادها الإدارية;سي .بي.راو;دار الفجر;2003;القاهرة;;330/261
44850;العولمة والتفكك;إيان كلارك;مركز الإمارات للدراسات والبحوث الإستراتيجية;2003;أبو ظبي;;320/682
44853;العولمة والديمقراطية والإرهاب;إيريك هوبزباوم;مركز الجزيرة للدراسات;2009;قطر;;320/676
44858;الفرصة الثانية : ثلاثة رؤساء و أزمة القوة العظمى الأمريكية;زبيغنيو بريجنسكي;دار الكتاب العربي;2007;بيروت;;327.09/679
44863;الفساد الإداري والمالي وأثاره الإقتصادية والإجتماعية;هاشم الشمري;دار اليازوري;2011;عمان;;330/255
44871;الفكر السياسي الحديث والمعاصر;موسى إبراهيم;دار المنهل اللبناني;2011;لبنان;;320/662
44874;الفكر السياسي والإجتماعي في أفريقيا;حلمي شعراوي;مركز المحروسة للنشر والخدمات الصحفية والمعلومات;2010;القاهرة;;320/648
44880;القانون الاداري العام والمنازعات الادارية;جورج, سعد;منشورات الحلبي الحقوقية;2006;لبنان;;342/461
44889;االقانون الدولي الإنساني ودوره في حماية ضحايا النزاعات المسلحة;رنا أحمد حجازي;دار المنهل اللبناني;2009;لبنان;;341/370
44892;القانون الدولي الخاص : الجنسية دراسة مقارنة;غالب علي الداودي;دار الثقافة;2011;عمان;;341/364
44895;القانون الدولي لحقوق الإنسان;عروبة جبار الخزرجي;دار الثقافة;2010;عمان;;341/360
44898;القانون الدولي لمنازعات الحدود : دراسة تطبيقية على الحدود العربية والإسلامية;مصطفى أحمد أبو الخير;إيتراك للطباعة والنشر والتوزيع;2010;مصر;;341/362
44901;القانون في حياتنا;صلاح الناهي;دار الثقافة;2011;عمان;ط.8مزيدةومنقحة;340/129
44904;القرض المصرفي كصورة من صور الائتمان و أداة للتمويل : دراسة مقارنة بين التعامل المصرفي و الفقه الاسلامي;صبري مصطفى حسن السبك;دار الفكر الجامعي;2011;الاسكندرية;;346.07/623
44906;القضاء الدولي الجنائي : المحاكم الجنائية الدولية;علي جميل حرب;دار المنهل اللبناني;2010;بيروت;;341/373
44907;القيادة الإدارية الفعالة;بلال خلف السكارنة;دار المسيرة;2009;عمان;;351/64
44909;القيادة الإدارية و إدارة الإبتكار;علاء محمد سيد قنديل;دار الفكر;2010;عمان;;351/99
44913;اللوبي و جماعات الضغط السياسي : (صراع المصالح و النفوذ و المال );هشام محمود الأقداحي;مؤسسة شباب الجامعة;2012;الإسكندرية;;322/106
44915;الليبرالية;باسكال سلان;الأهلية;2010;الأردن;;321/128
44918;المالية العامة : من منظور إسلامي;حسين محمد سمحان;دار صفاء للنشر و التوزيع;2010;عمان;;250/284
44925;المجتمع المدني والحرب على الإرهاب;كاستوري سين;مركز دراسات الوحدة العربية;2010;بيروت;;320/645
44938;المجتمع والدولة في الوطن العربي;سعد الدين إبراهيم;مركز دراسات الوحدة العربية;2005;بيروت;ط.3;320/663
44942;المجموعة الكاملة لخطب و أحاديث و تصريحات جمال عبد الناصر : الجزء الثالث - القسم الثاني 1/1/1960 - 5/10/1961 سنوات الوحدة;;مركز دراسات الوحدة العربية;2003;بيروت;;327.09/694
44943;المحاماة علم و فن;هلال يوسف ابراهيم;دار المطبوعات الجامعية;2009;مصر;;347/944
44946;المحكمة الجنائية الدولية : النظام الاساسى للمحكمة والمحاكمات السابقة والجرائم التي تختص المحكمة بنظرها;فهمي , خالد مصطفى;دار الفكر الجامعي;2011;مصر;;345/728
44947;المحكمة الدولية الجنائية والجرائم الدولية;خالد حسن ناجي أبو غزلة;دار جليس الزمان للنشر والتوزيع;2010;;;341/374
44948;المحكمة الجنائية الدولية والسودان : جدل السياسة والقانون;محمد عاشور مهدي;;2010;;;341/369
44951;المحل في عقد الامتياز التجاري : دراسة مقارنة;احمد انور محمد;منشورات الحلبي الحقوقية;2010;بيروت;;346.07/625
44953;المدخل الإستراتيجي و التشغيلي للنوعية;علي هادي جبرين;مكتبة الجامعة;2011;الشارقة;;351/239
44956;المدخل السلوكي في الإدارة : ( نظرة متكاملة );علي محمد عبد الوهاب;اتحاد المصارف العربية;دت;دم;;351/20
44958;المدخل إلى دراسة علم الإقتصاد : العلاقات الإقتصادية الدولية ودولة الرفاهية الإقتصاد الدولي والإقتصاد العام;حسين عمر;دار الكتاب الحديث;1998;الإسكندرية;;330/86
44969;المدخل إلى علم العلاقات الدولية;عامر مصباح;دار الكتاب الحديث;2009;القاهرة;;327/455
44975;المرتكز في حقوق الانسان;شلالا , نزيه نعيم;المؤسسة الحديثة للكتاب;2010;لبنان;;341.48/98
44976;المركزية و اللامركزية في تنظيم الإدارة المحلية;صفوان المبيضين;دار اليازوري;2010;عمان;;351/37
44979;المسئولية الادارية و القضاء الكامل;محمد انور حمادة;دار الفكر الجامعي;2006;الاسكندرية;;342/472
44980;المسئولية التأديبية للموظف العام عن المخالفة المالية في القانون الليبي;خليفة سالم الجهمي;دار الجامعة الجديدة;;الاسكندرية;ط.2مزيدة ومنقحة;342/524
44981;المسألة المائية في السياسة السورية تجاه تركيا;عبد العزيز شحادة المنصور;مركز دراسات الوحدة العربية;2000;بيروت;;327/462
44984;المسيحية البروتستانتية و علاقتها بالصهيونية في الولايات المتحدة : دراسة عقدية تحليلية;راجح إبراهيم السباتين;دار زهران للنشر;2012;عمان;;322/113
44988;المشكل الطائفي و المسؤولية الوطنية;حسن بن موسى الصفار;مؤسسة الإنتشار العربي;2008;بيروت;;322/110
44997;المعاهدات الدولية : إلزامية تنفيذها في الفقه الإسلامي والقانون الدولي;صباح لطيف الكربولي;دار دجلة;2011;عمان;;341/361
44999;المفاهيم الحديثة للأنظمة و الحياة السياسية;فوزي أبو دياب;دار النهضة العربية;1971;بيروت;;321/135
45002;المفاهيم القانونية لحقوق الانسان عبر الزمان و المكان;الحاج , ساسي سالم;دار الكتاب الجديدة;2004;لبنان;ط.3;341.48/95
45005;المقاربات والمتغيرات العالمية : عصر الدولة وعصر السوق;سلام الربضي;دار المنهل اللبناني;2009;بيروت;;330/301
45015;المناهج المعرفية في عالم السياسة;محمد طه بدوي;المكتب العربي الحديث;2010;مصر;;320/661
45018;المنظمات الدولية;رياض صالح أبو العطا;إثراء للنشر والتوزيع;2010;الأردن;;341/372
45020;المنظور الإستراتيجي : للتحولات الإقتصادية للقرن الحادي والعشرين(مدخل لآليات تعامل القيادات الإدارية معها);عبد المطلب عبد الحميد;الدار الجامعية;2009;الإيكندرية;;330/279
45030;الموازنة العامة للدولة;عبد الطيف قطيش;منشورات الحلبي الحقوقية;2005;بيروت;;330/331
45032;المواطنة العالمية;أماني غازي جرار;دار وائل;2011;عمان;;323/22
45038;النظام الاروبي لحماية حقوق الانسان;محمد امين الميداني;منشورات الحلبي الحقوقية;2009;لبنان;ط.2;341.48/97
45040;النظريات الجزئية والكلية في العلاقات الدولية;عبد القادر محمد فهمي;dar echourouk;2010;عمان;;327/457
45046;النظريات السياسية في العالم المعاصر;ادوارم بيرنز;دار الآداب;1988;لبنان;ط.2;320/665
45053;النظرية السياسية : النظرية العامة للمعرفة السياسية;محمد طه بدوي;المكتب العربي الحديث;2009;مصر;;320/652
45059;النظرية العامة في الأحلاف والتكتلات العسكرية طبقا لقواعد القانون الدولي العام;السيد مصطفى أحمد أبو الخير;مركز دراسات الوحدة العربية;2010;بيروت;;327/480
45071;االنظم السياسية : أسس التنظيم السياسي الدول -الحكومات -الحقوق و الحريات العامة;عصام علي الدبس;دار الثقافة;2010;عمان;;342/521ج1
45072;النظم السياسية : الخصائص العامة;عصام علي الدبس;دار الثقافة;2011;عمان;;342/521ج2
45073;النظم الدستورية : السلطة التشريعية المؤسسة الدستورية الأولى;عصام علي الدبس;دار الثقافة;2011;عمان;;342/521ج3
45074;النظم السياسية : السلطة التنفيذية المؤسسة الدستورية الثانية;عصام علي الدبس;دار الثقافة;2011;عمان;;342/521ج4
45075;النظم السياسية : السلطة القضائية;عصام علي الدبس;دار الثقافة;2011;عمان;;342/521ج5
45076;النظم السياسية : الحقوق و الحريات العامة و ضمانات حمايتها;عصام علي الدبس;دار الثقافة;2011;عمان;;342/521ج6
45078;النفط وتأثيره في العلاقات الدولية;محمد ختاوي;دار النفائس;2010;بيروت;;327/440
45081;النفط والحرب والمدينة : مصير الحياة الحضرية...إلى طريق مسدود؟;فيصل حميد;شركة المطبوعات;2007;بيروت;;330/108
45084;النفود العالمي للشركات عبر الوطنية : إشكالية العلاقة بين الدولة ورأس المال;سلام الربضي;دار المنهل اللبناني;2009;بيروت;;330/111
45088;النقد والأيديولوجية;تيري إيجلتون;المؤسسة العربية للدراسات والنشر;1992;لبنان;;320/642
45093;النهضة اليابانية المعاصرة : الدروس المستفادة عربيا;مسعود ضاهر;مركزدراسات الوحدة العربية;2004;بيروت;2;330/105
45096;الهند : عوامل النهوض وتحديات الصعود;محمد ضياء الحق;مركز الجزيرة للدراسات;2010;الدوحة;;320/664
45101;الوطن العربي وأمريكا االلاتينية;أنطونيا روبييدو;مركز دراسات الوحدة العربية;2005;بيروت;;325/18
45103;اليسار العربي : رؤيا النهوض الكبير (نقد و توقعات );نايف حواتمة;دار الجليل;2009;عمان;ط 3.;327.09/728
45104;إمبراطورية الخوف : الحرب و الإرهاب و الديموقراطية;بنجامين ر .باربر;دار الكتاب العربي;2005;بيروت;;327.09/729
45106;أمركة القانون;فرانسوا تريه;المؤسسة الجامعية للدراسات والنشر والتوزيع;2008;لبنان;;320/669
45108;دول و مجتمعات معاصرة : أمريكا اللاتينية المعاصرة;رونالدو مونك;النشر العلمي و المطابع;2008;الرياض;;327.09/732
45111;"أمريكا الخصم و الحكم : دراسة توثيقية في ""عملية السلام "" و مناورات واشنطن منذ 1967";نصير حسن عاروري;مركز دراسات الوحدة العربية;2007;بيروت;;327.09/509
45115;أميريكا والإبادات الثقافية : لعنة كنعان الإنكليزية;منير العكش;رياض الرئيس للكتب والنشر;2009;بيروت;;320/687
45117;أنظمة العمل و اللبرلة : إعادة هيكلة علاقات الدول - المجتمع في أفريقيا;;مركز البحوث العربية و الإفريقية;2004;القاهرة;;322/112
45124;أوباما والسلام المستحيل : معركة المصير;سمير التنير;شركة المطبوعات;2011;بيروت;;327/437
45138;اليات حماية القاعدة القانون الدستورية في الجزائر;فريد علواش;دار الجامعة الجديدة;2010;مصر;;342/576
45146;أوقفوا الحرب : إزالة النزاع في العصر النووي;روبرت هندي;شركة الحوار الثقافي;2005;بيروت;;418/327
45149;إيران : بين عدالت خانه وولاية الفقيه;هالة العوري;رياض الريس للكتب و النشر;2010;بيروت;;327.09/675
45151;إيران من الداخل : تحولات القيادة السياسية من الشرعية الثورية إلى الشرعية الدستورية;منال محمد أحمد;مركز المحروسة;2009;إيران;;320/668
45153;أين تكمن ثروة الأمم؟ : قياس رأس المال للقرن الحادي والعشرين;;مركز الإمارات للدراسات والبحوث الإستراتيجية;2008;أبوظبي;;330/259
45156;برنامج الليبرالية الدولية : الوثائق الأساسية للاتحاد الفيدرالي العالمي للأحزاب السياسية الليبرالية;;مركز المحروسة للنشر;2009;القاهرة;;320.5/189
45159;بريطانيا في إفريقيا;توم بورتيوس;الدار العربية للعلوم;2009;بيروت;;327/468
45164;بلاكووتر : أخطر منظمة سرية في العالم;جيريمي سكاهيل;شركة المطبوعات للتوزيع و النشر;2010;بيروت;ط.3;327.09/705
45166;بناء دولة الحق و القانون;جامعة سيدة اللويزة;منشورات الحلبي الحقوقية;2010;بيروت;;340/128
45167;تاريخ العرب السياسي في المغرب : من الفتح العربي حتى سقوط غرناطة 20 - 798 ه - 640 - 1492 م;سعدون نصر الله;دار النهضة العربية;2003;بيروت;;327.09/677
45169;تاريخ العلاقات الدولية في القرنين التاسع عشر و العشرين;فرانسوا - شارل موجل;دار و مكتبة الهلال;2010;بيروت;;327.09/700
45172;تاريخ الفكر السياسي;هشام محمود الأقداحي;مؤسسة شباب الجامعة;2010;الإسكندرية;;327.09/691
45177;تجربة التعددية الحزبية و التحول الديمقراطي : دراسة تطبيقية في الجزائر;ناجي عبد النور;دار الكتاب الحديث;2010;القاهرة;;48/324
45184;تحديات الأمن الغدائي العربي;سالم اللوزي;المؤسسة العربية;2009;بيروت;;330/294
45187;تحديات التكامل الإقتصادي العربي في عصر العولمة;محسن الندوي;منشورات الحلبي;2011;بيروت;;330/206
45189;تحليل النظريات الإقتصادية;بول كروجمان;الدار الدولية للإستثمارات;2007;القاهرة;;330/47
45191;تحولات الخطاب السلفي : الحركات الجهادية - حالة دراسة ( 1990 - 2007 );مروان شحادة;الشبكة العربية للأبحاث و النشر;2010;بيروت;;322/116
45193;تخطيط المدن : تطبيقات في النمدجة الحضرية;عماد أكرم الهاشمي وأخرين;دار اليازوري;2011;عمان;;330/268
45195;ترسيخ العمل بالسياسة الشرعية في ظل اتجاهات العولمة : دعوة الاصلاح التشريعي في الوطن العربي;جابر عبد الهادي, سالم الشافعي;دار الجامعة الجديدة;2011;مصر;;250/232
45198;ترشيد و تحفيز الموظفين;كيت كينان;الدار العربية للعلوم;1995;دم;;351/194
45199;تسوية الصراعات في إفريقيا (( نمودج الإيكواس));بدر حسن الشافعي;دار النشر للجامعات;2009;القاهرة;;327/434
45202;تطور إدارة الموارد البشرية : المفهوم - الإستراتيجية -الموقع التنظيمي;نجم عبد الله العزاوي;دار اليازوري;2010;عمان;;351/02
45204;تطور أساليب الحروب وظهور أنواع جديدة تتناسب والتكنولوجيا الحديثة : حروب الطاقة النووية وأثرها على الإقتصاد العالمي;نبيه , نسرين عبد الحميد;مكتبة الوفاء القانونية;2010;الإسكندرية;;330/302
45205;تطور الأنظمة السياسية عبر العصور : الآراء الفلسفية - الإتجاهات الفكرية - المذاهب السياسية - النظريات القانونية;محمد عبد الله الفلاح;دار النهضة العربية;2010;بيروت;;321/137
45206;تطور الأوضاع الثقافية في تركيا : من عهد التنظيمات إلى عهد الجمهورية 1839 - 1990م;سهيل صابان;المعهد لاالعالمي للفكر الإسلامي;2010;فرجينيا;;327.09/725
45208;تطور النظم الإقتصادية مابين الماضي والحاضر;محمد إسماعيل صبري;المكتب العربي الحديث;2011;الإسكندرية;;330/295
45210;تعطيل الدستور;جعفر عبد السادة بهير الدراجي;دار الحامد;2008;عمان;;342/449
45212;تقرير لجنة 11/9 التجاهلات و التحريفات;دايفيد راي غريفين;الدار العربية للعلوم;2006;بيروت;;327.09/713
45214;تقويم الأداء : في الوحدات الإقتصادية بإستخدام النسب المالية;مجيد جعفر الكرخي;دار المناهج;2010;عمان;;330/46
45216;تكامل المغرب العربي : الأبعاد والمقاربات;عامر مصباح;دار الكتاب الحديث;2009;القاهرة;;327/465
45221;تنمية التخلف وإدارة التنمية : إدارة التنمية في الوطن العربي والنظام العالمي الجديد;أسامة عبد الرحمن;مركز دراسات الوحدة العربية;2003;بيروت;;330/292
45224;ثقافة الاحتجاج : من الصمت إلى العصيان;شحاتة صيام;مصر العربية للنشر;2009;القاهرة;;322/115
45225;1789 ثورات الحرية و المساواة;روبرت بالمر;دار الطليعة للطباعة و النشر;2008;بيروت;;327.09/682
45228;جدوى القوة : فن الحرب في العالم المعاصر;الجنرال روبرت سميث;الدار العربية للعلوم;2008;بيروت;;327.09/719
45233;جرائم إسرائيل : العدوان على غزة - إغتيال المبحوح الإعتداء على أسطول الحرية;جيمس بيتراس;الدار العربية للعلوم;2011;بيروت;;327.09/711
45235;جرائم الانتخابات;ضياء الأسدي;منشورات زين الحقوقية;2011;بيروت;ط.2;342/526
45236;جغرافية أفريقيا : دراسة إقليمية للقارة مع التطبيق على دول جنوب الصحراء;فتحي محمد أبو عيانة;دار النهضة العربية;1983;بيروت;;327.09/693
45238;حاضر العلم المعاصر ومستقبلنا : دراسة في حضارة الموجة الثالثة لألفن توفلر;بتول رضا عباس;دار دجلة;2010;الأردن;;320/672
45241;حالة انكار : حرب بوش;بوب ودورد;مكتبة العبيكان;2008;الرياض;;327.09/704
45243;حرب الثلاثة ثريليونات دولار : الكلفة الحقيقية لحرب العراق;جوزيف ستيغلتز;دار الكتاب العربي;2009;بيروت;;327.09/714
45244;حرب بلانهاية : وظائف خفية للحرب على الإرهاب;ديفيد كين;مكتبة العبيكان;2008;الرياض;;327.09/676
45246;"حروب الأشباح : السجل الخفي ل ""السي . آي . إيه . "" ل "" أفغانستان "" و ل ""بن لادن """;ستيف كول;شركة المطبوعات للتوزيع و النشر;2008;بيروت;;327.09/710
45249;حرية المعتقد : و احكامها التشريعية و احوالها التطبيقية و اهميتها في حوار الأديان;سعدي محمد الخطيب;منشورات الحلبي الحقوقية;2011;بيروت;;250/242
45254;حقوق الانسان بين المفهوم الغربي و الاسلامي /دراسة في حرية العقيدة;نبيل، قرقور;دار الجامعة الجديدة;2010;مصر;;341.48/90
45257;حقوق الانسان و معاييرها الدولية;كمال سعدي مصطفى;دار دجلة;2010;لبنان;ط.1;341.48/173
45258;حلف المصالح المشتركة : التعاملات السرية بين إسرائيل وإيران والولايات المتحدة;تريتا بارزي;الدار العربية للعلوم;2008;بيروت;;327/431
45260;حلف مع الشيطان : سعي واشنطن لسيادة العالم وخيانة الوعد الأمريكي;توني سميث;المؤسسة العربية للدراسات;2010;بيروت;;327/476
45261;خمسون عالما إجتماعيا أساسيا : المنظرون المعاصرون;جون سكوت;الشبكة العربية للأبحاث و النشر;2009;بيروت;;327.09/717
45270;خيانة بوش : سحق الإرهاب و الاستبداد في العالم باسم الحرية و العدالة و السلام ,بحجة تخليصه من الشر;جايمس بوفارد;الدار العربية للعلوم;2006;بيروت;;327.09/681
45274;دراسات سياسية وقومية : التعريف بعلوم السياسة-الدولة والأمة والدولة العربية الكبرى-العلاقات السياسية الدولية;محمد طه بدوي;المكتب العربي الحديث;2010;الإسكندرية;;327/469
45289;دراسات في الجغرافيا الاقتصادية و السياسية;فتحي محمد أبو عيانة;دار النهضة العربية;2001;بيروت;;327.09/692
45298;دراسة في السياسة التشريعية والقضائية لاعمال الجزاء الاجرائي في قانون المرافعات المدنية والتجارية;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2008;مصر;ط1.;345/600
45300;دعوى الافتراء : دراسة مقارنة;شلالا , نزيه نعيم;منشورات الحلبي الحقوقية;2005;بيروت;;345/748
45301;دور السياسة المالية في تحقيق التنمية الإجتماعية : بين النظام المالي الإسلامي والنظام المالي المعاصر;هشام مصطفى الجمل;دار الفكر الجامعي;;الإسكندرية;;330/275
45302;دور حوافز الإستثمار في تعجيل النمو الإقتصادي : من منظور الإقتصاد الإسلامي والأنظمة الإقتصادية المعاصرة;إبراهيم متولي حسن المغربي;دار الفكر الجامعي;2011;الإسكندرية;;330/188
45303;دور مؤسسة الرئاسة في صنع الإستراتيجية الأمريكية الشاملة بعد الحرب الباردة;عامر هاشم عواد;مركز دراسات الوحدة العربية;2010;بيروت;;327/474
45309;دينامية التجربة اليابانية في التنمية المركبة : دراسة مقارنة بالجزائر وماليزيا;ناصر يوسف;مركزدراسات الوحدة العربية;2010;بيروت;;330/114
45312;ذئاب في ثياب حملان : مختصر قصة الأصولية الأمريكية;إميل أمين;دار المريخ للنشر;2005;القاهرة;;322/111
45314;ذهنية الإرهاب : لماذا يقاتلون بموتهم;جان بوديار;المركز الثقافي العربي;2003;المغرب;;320/660
45319;رسائل مفتوحة إلى الرئيس الأمريكي : إرشادات حول الإدارة الناجحة;جيمس ج . شيرو;مكتبة العبيكان;2001;الرياض;;351/164
45321;زمن هنتغتن؟ : صدام الحضارات ونهاية التاريخ;محمد العربي بن عزوز;دار النهضة العربية;2009;;;327.09/723
45323;ستة أيام من الحرب : حزيران 1967 م و صناعة شرق أوسط جديد;ميشيل ب . أورين;مكتبة العبيكان;2005;الرياض;;327.09/712
45324;سنوات بلير : مقتطفات من يوميات ألستير كامبل;ألستير كامبل;شركة المطبوعات للتوزيع والنشر;2008;بيروت;;327.09/685
45325;سورية وتركيا : الواقع الراهن وإحتمالات المستقبل;عقيل سعيد محفوض;مركز دراسات الوحدة العربية;2009;بيروت;;327/453
45326;سوسيولوجيا التواصل السياسي;فيليب ريتور;دار الفرابي;2008;بيروت;;320/657
45331;سياسة الولايات المتحدة الأمريكية تجاه إيران 1941 - 1947;عبد المجيد عبد الحميد علي العاني;دار دجلة;2011;عمان;;327.09/683
45334;سيكولوجية الفساد والاخلاق والشفافية;العيسوي , عبد الرحمان محمد;دار الفكر الجامعي;2011;مصر;;345/729
45342;صور العنف السياسي في الرواية الجزائرية المعاصرة : دراسة نقدية;سعاد عبد الله العنزي;دار الفراشة للطباعة والنشر;2010;الكويت;;320/688
45344;طريق رئيس وطرق فرعية : دراسات في الإصلاح والإنتقال مابعد الشيوعي;جانوس كورناي;دار الكتاب الحديث;2009;عمان;;330/262
45349;طموحات إيران النووية;شاهرام تشوبين;الدار العربية للعلوم;2007;بيروت;;327/442
45352;عصر التوقعات الهابطة : السياسة الإقتصادية لU.Sفي 1990;بول كروغمان;دار الكتاب الحديث;2009;عمان;;330/265
